"","sector_wo","poll","grid","value","value_all_sector","value_om_sector","diff","status"
"62","landfill","BC","d02",91439.2755596016,91439.2755578947,0,1.70683779288083e-06,"PASS"
"63","landfill","OC","d02",306543.520952859,306543.521004117,0,5.12582482770085e-05,"PASS"
"64","livestock","SO2","d02",1693128.04022819,1693127.99119916,0,0.0490290315356106,"PASS"
"65","livestock","NOx","d02",4004670.05360744,4004670.08475177,0,0.0311443256214261,"PASS"
"66","livestock","CO","d02",42003838.5928914,42003838.5772918,0,0.0155995860695839,"PASS"
"67","livestock","NMVOC","d02",2422147.74621724,2422147.74776785,0,0.00155061483383179,"PASS"
"68","livestock","NH3","d02",226571.789091311,896776.649849362,670204.860726425,3.16263176500797e-05,"PASS"
"69","livestock","PM","d02",1226941.46328522,1226941.46279995,0,0.000485268654301763,"PASS"
"70","livestock","CH4","d02",346053.892095048,346053.893442694,0,0.00134764553513378,"PASS"
"71","livestock","BC","d02",91439.2755596016,91439.2755578947,0,1.70683779288083e-06,"PASS"
"72","livestock","OC","d02",306543.520952859,306543.521004117,0,5.12582482770085e-05,"PASS"
"73","power","SO2","d02",189741.189377941,1693127.99119916,1503386.8016031,0.000218121102079749,"PASS"
"74","power","NOx","d02",3009826.02498822,4004670.08475177,994844.058640301,0.00112324021756649,"PASS"
"75","power","CO","d02",41885920.5372797,42003838.5772918,117918.060221225,0.020209051668644,"PASS"
"76","power","NMVOC","d02",2392666.20813378,2422147.74776785,29481.536819553,0.00281452387571335,"PASS"
"77","power","NH3","d02",895628.696029624,896776.649849362,1147.95476804429,0.00094830640591681,"PASS"
"78","power","PM","d02",1192799.42249124,1226941.46279995,34142.0401048847,0.000203824369236827,"PASS"
"79","power","CH4","d02",294613.42130561,346053.893442694,51440.4722782597,0.000141176162287593,"PASS"
"80","power","BC","d02",91361.2544028442,91439.2755578947,78.0210522034031,0.00010284707241226,"PASS"
"81","power","OC","d02",305819.062095995,306543.521004117,724.458533838624,0.000374283874407411,"PASS"
"82","shipping","SO2","d02",1687888.10124431,1693127.99119916,5239.93980646133,0.0498516077641398,"PASS"
"83","shipping","NOx","d02",3996990.46384353,4004670.08475177,7679.59019601345,0.0307122226804495,"PASS"
"84","shipping","CO","d02",42003253.5198286,42003838.5772918,585.071210190654,0.0137469246983528,"PASS"
"85","shipping","NMVOC","d02",2422147.74621724,2422147.74776785,0,0.00155061483383179,"PASS"
"86","shipping","NH3","d02",896776.650660204,896776.649849362,0,0.000810842146165669,"PASS"
"87","shipping","PM","d02",1225652.20596724,1226941.46279995,1289.25726726651,0.000434547895565629,"PASS"
"88","shipping","CH4","d02",346053.892095048,346053.893442694,0,0.00134764553513378,"PASS"
"89","shipping","BC","d02",91265.5219569418,91439.2755578947,173.753599952906,9.99993062578142e-07,"PASS"
"90","shipping","OC","d02",306296.914219125,306543.521004117,246.606736499816,4.84930351376534e-05,"PASS"
"91","solidwaste","SO2","d02",1691168.54164461,1693127.99119916,1959.43567190213,0.0138826497295668,"PASS"
"92","solidwaste","NOx","d02",3992913.45047915,4004670.08475177,11756.6140555164,0.0202171013625048,"PASS"
"93","solidwaste","CO","d02",41839245.9926854,42003838.5772918,164592.596865183,0.0122588032390922,"PASS"
"94","solidwaste","NMVOC","d02",2363364.67576409,2422147.74776785,58783.0699881579,0.00201561085123103,"PASS"
"95","solidwaste","NH3","d02",893092.910138527,896776.649849362,3683.73905203879,0.000658796248899307,"PASS"
"96","solidwaste","PM","d02",1157185.55370591,1226941.46279995,69755.91009419,0.0010001448681578,"PASS"
"97","solidwaste","CH4","d02",320581.229915315,346053.893442694,25472.6637505934,0.000223214887228096,"PASS"
"98","solidwaste","BC","d02",69885.48312818,91439.2755578947,21553.7923771759,5.25388204550836e-05,"PASS"
"99","solidwaste","OC","d02",284989.728175967,306543.521004117,21553.7923771759,0.000450974668638082,"PASS"
"100","transport","SO2","d02",1559583.94180538,1693127.99119916,133544.112892893,0.0634991118567996,"PASS"
"101","transport","NOx","d02",1977996.89410608,4004670.08475177,2026673.16735605,0.0232896392699331,"PASS"
"102","transport","CO","d02",37429956.0579928,42003838.5772918,4573882.4906965,0.0286025526002049,"PASS"
"103","transport","NMVOC","d02",548818.025347276,2422147.74776785,1873329.72260925,0.000188675709068775,"PASS"
"104","transport","NH3","d02",837378.400681752,896776.649849362,59398.2501978224,0.00103021252289182,"PASS"
"105","transport","PM","d02",811802.030410228,1226941.46279995,415139.43314625,0.00075652461964637,"PASS"
"106","transport","CH4","d02",315299.384219534,346053.893442694,30754.5082276316,0.000995527931081597,"PASS"
"107","transport","BC","d02",51382.7017854095,91439.2755578947,40056.5737027647,6.97205614414997e-05,"PASS"
"108","transport","OC","d02",163970.548433169,306543.521004117,142572.972182,0.000388947839383036,"PASS"
"109","agroob","SO2","d03",314353.169810758,315165.944401014,812.777539149379,0.00294889386145769,"PASS"
"110","agroob","NOx","d03",1498463.57240121,1508432.06824123,9968.48984903208,0.0059909872325079,"PASS"
"111","agroob","CO","d03",8119750.20357008,8850485.32926486,730735.137862217,0.0121674314141273,"PASS"
"112","agroob","NMVOC","d03",550817.153577025,580681.242058628,29864.0906592783,0.00217767545109382,"PASS"
"113","agroob","NH3","d03",315995.394313447,332266.668753512,16271.2734587487,0.000981316887191497,"PASS"
"114","agroob","PM","d03",298305.939790785,368688.05759056,70382.1179122511,0.000112475856440142,"PASS"
"115","agroob","CH4","d03",50691.4602337828,67880.365769069,17188.9055338495,1.43664874485694e-06,"PASS"
"116","agroob","BC","d03",36235.095328734,38468.7460773311,2233.6508348774,8.62803008203628e-05,"PASS"
"117","agroob","OC","d03",82806.8583434444,95081.2424909143,12274.384004373,0.000143096962347045,"PASS"
"118","aviation","SO2","d03",314179.114503788,315165.944401014,986.83179365471,0.00189642840996385,"PASS"
"119","aviation","NOx","d03",1493004.20799812,1508432.06824123,15427.8549420834,0.00530102755874395,"PASS"
"120","aviation","CO","d03",8840600.01744329,8850485.32926486,9885.33431410789,0.0224925335496664,"PASS"
"121","aviation","NMVOC","d03",578469.269944175,580681.242058628,2211.97414699942,0.00203254667576402,"PASS"
"122","aviation","NH3","d03",332266.667920699,332266.668753512,0,0.000832813268061727,"PASS"
"123","aviation","PM","d03",368522.147754208,368688.05759056,165.909771979786,6.43719686195254e-05,"PASS"
"124","aviation","CH4","d03",67832.6366105859,67880.365769069,47.729125530459,3.29526519635692e-05,"PASS"
"125","aviation","BC","d03",38437.250252241,38468.7460773311,31.4958994626068,7.43725395295769e-05,"PASS"
"126","aviation","OC","d03",95033.1685783724,95081.2424909143,48.073743393179,0.000169148741406389,"PASS"
"127","comres","SO2","d03",311961.584385665,315165.944401014,3204.35947746036,0.000537888108738116,"PASS"
"128","comres","NOx","d03",1491209.40850566,1508432.06824123,17222.6582195765,0.00151599739183439,"PASS"
"129","comres","CO","d03",8748685.16566269,8850485.32926486,101800.185902253,0.022300080046989,"PASS"
"130","comres","NMVOC","d03",570768.918972566,580681.242058628,9912.32401605094,0.000929988265852444,"PASS"
"131","comres","NH3","d03",331172.362125343,332266.668753512,1094.30574176426,0.000886405170149374,"PASS"
"132","comres","PM","d03",355162.180225481,368688.05759056,13525.8779273535,0.000562274562980747,"PASS"
"133","comres","CH4","d03",55663.3968287887,67880.365769069,12216.968992966,5.26857184013352e-05,"PASS"
"134","comres","BC","d03",35809.4532549205,38468.7460773311,2659.29280279623,1.96143782886793e-05,"PASS"
"135","comres","OC","d03",90760.5291781235,95081.2424909143,4320.71315780289,0.00015498798165936,"PASS"
"136","forest","SO2","d03",315162.941469228,315165.944401014,3.00484205008221,0.0019102644288651,"PASS"
"137","forest","NOx","d03",1508419.14715369,1508432.06824123,12.9155490714467,0.0055384683080888,"PASS"
"138","forest","CO","d03",8849937.09494961,8850485.32926486,548.251887635238,0.0175723795809972,"PASS"
"139","forest","NMVOC","d03",580638.543999234,580681.242058628,42.7003873376926,0.00232794355190435,"PASS"
"140","forest","NH3","d03",332262.661460562,332266.668753512,4.00645608183851,0.000836868163503368,"PASS"
"141","forest","PM","d03",368584.733122233,368688.05759056,103.324392571574,7.57551811148005e-05,"PASS"
"142","forest","CH4","d03",67844.5184970837,67880.365769069,35.8472383726754,3.3612655329307e-05,"PASS"
"143","forest","BC","d03",38465.2668596276,38468.7460773311,3.47929077752278,7.30740103804806e-05,"PASS"
"144","forest","OC","d03",95053.8297450621,95081.2424909143,27.4125941697264,0.000151682515195262,"PASS"
"145","gasdist","SO2","d03",315165.946310867,315165.944401014,0,0.00190985295921564,"PASS"
"146","gasdist","NOx","d03",1508432.06269854,1508432.06824123,0,0.00554269272834063,"PASS"
"147","gasdist","CO","d03",8850485.34681768,8850485.32926486,0,0.0175528209656477,"PASS"
"148","gasdist","NMVOC","d03",531931.835870014,580681.242058628,48749.4061983699,9.75605507846922e-06,"PASS"
"149","gasdist","NH3","d03",332266.667920699,332266.668753512,0,0.000832813268061727,"PASS"
"150","gasdist","PM","d03",368688.057512558,368688.05759056,0,7.8001874499023e-05,"PASS"
"151","gasdist","CH4","d03",67880.3657357774,67880.365769069,0,3.32916533807293e-05,"PASS"
"152","gasdist","BC","d03",38468.7461506957,38468.7460773311,0,7.33646156731993e-05,"PASS"
"153","gasdist","OC","d03",95081.2423373569,95081.2424909143,0,0.000153557470184751,"PASS"
"154","industry","SO2","d03",304584.273806214,315165.944401014,10581.6722121276,0.00161732803098857,"PASS"
"155","industry","NOx","d03",1330166.38341579,1508432.06824123,178265.68006054,0.00476490217261016,"PASS"
"156","industry","CO","d03",2461273.32663818,8850485.32926486,6389211.99919425,0.0034324349835515,"PASS"
"157","industry","NMVOC","d03",564236.641769539,580681.242058628,16444.6022401331,0.00195104407612234,"PASS"
"158","industry","NH3","d03",328082.375350504,332266.668753512,4184.2927600594,0.000642948858512682,"PASS"
"159","industry","PM","d03",358070.195460367,368688.05759056,10617.8620047978,0.00012539466843009,"PASS"
"160","industry","CH4","d03",64445.4256517101,67880.365769069,3434.94004336362,7.39952993171755e-05,"PASS"
"161","industry","BC","d03",38342.8867057261,38468.7460773311,125.859489079131,0.000117474173066512,"PASS"
"162","industry","OC","d03",94981.9552521064,95081.2424909143,99.2870924382307,0.000146369666992996,"PASS"
"163","landfill","SO2","d03",315165.946310867,315165.944401014,0,0.00190985295921564,"PASS"
"164","landfill","NOx","d03",1508432.06269854,1508432.06824123,0,0.00554269272834063,"PASS"
"165","landfill","CO","d03",8850485.34681768,8850485.32926486,0,0.0175528209656477,"PASS"
"166","landfill","NMVOC","d03",580681.244385708,580681.242058628,0,0.00232707930263132,"PASS"
"167","landfill","NH3","d03",332266.667920699,332266.668753512,0,0.000832813268061727,"PASS"
"168","landfill","PM","d03",368688.057512558,368688.05759056,0,7.8001874499023e-05,"PASS"
"169","landfill","CH4","d03",66877.259216279,67880.365769069,1003.10652643428,2.63557594735175e-05,"PASS"
