country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
IDN,Indonesia,PLTU Perak,WRI1000970,100,-7.2492,112.7508,Coal,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,410.2273889
IDN,Indonesia,PLTU Priok 3 & 4,WRI1000972,100,-6.1071,106.8716,Coal,,,,,PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,410.2273889
IDN,Indonesia,PLTU Rancong,WRI1000974,30,-2.5213,121.357,Coal,,,,,PT. Jorindo Aceh Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,123.0682167
IDN,Indonesia,PLTU Sanggau,WRI1000975,14,-2.5213,121.357,Coal,,,,,PLN,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1102412,,,,,,,57.43183445
IDN,Indonesia,PLTU Simpang Belimbing,WRI1000978,227,-3.4,104.1158,Coal,,,,,PT. Guo Hua Energy Musi Makmur,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1075907,,,,,,,931.2161729
IDN,Indonesia,PLTU Sulawesi Selatan - Barru/FTP1,WRI1000979,100,-4.2931,119.6326,Coal,,,,,PLN-South&South East Sulawesi Regional Unit,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,410.2273889
IDN,Indonesia,PLTU Sumbar - Teluk sirih Unit 1,WRI1000980,112,-1.0772,100.3727,Coal,,,,,PLN (EPC: CNTIC (China National Tecnical Import Corporation)),Indonesia Power Generation,https://repit.wordpress.com/,WRI,1066878,,,,,,,459.4546756
IDN,Indonesia,PLTU Suparma,WRI1000981,27,-2.5213,121.357,Coal,,,,,PT. Suparma (pulp industry),Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,110.761395
IDN,Indonesia,PLTU Suralaya,WRI1000982,3400,-5.892,106.03,Coal,,,,,PLN -.PT Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1026152,,,,,,,13947.73122
IDN,Indonesia,PLTU Tabalong,WRI1000983,60,-2.5213,121.357,Coal,,,,,PT. Makmur Sejahtera Wisesa (owned by PT. Adaro),Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,246.1364334
