longitude,latatitude,Name,No,Jenis.Industri,Group Description,Kab.Kota,Provinsi,query,distance_from_jakarta_km
106.8683778,-6.3876944,PT. Medifarma Laboratories,676,Farmasi,"Pharmacy, Cosmetics, Health",Kota Depok,Jawa Barat,"Kota Depok, Jawa Barat, Indonesia",20.07733705
106.6749339,-6.1547704,PT. Timuraya Tunggal,85,Kimia,"Petroleum, Chemicals & Plastics",Kab. Tangerang,Banten,"Kab. Tangerang, Banten, Indonesia",19.82114638
106.9995185,-6.296883,PT. Pengolahan limbah industri Bekasi,658,Pengolahan Limbah B3,Waste,Kota Bekasi,Jawa Barat,"Kota Bekasi, Jawa Barat, Indonesia",19.65513577
106.6836023,-6.1591782,PT. Iron Wire Works Indonesia,158,Kabel,Capital goods & automobile components,Kota Tangerang,Banten,"Kota Tangerang, Banten, Indonesia",18.75893675
106.6832657,-6.1606569,PT. Indofood CBP Sukses Makmur - Noodle Division - Kota Tangerang,160,Makanan dan Minuman,Food & Beverage,Kota Tangerang,Banten,"Kota Tangerang, Banten, Indonesia",18.74683514
106.684302,-6.1619102,PT. Multi Bintang Indonesia Tbk.,162,Makanan dan Minuman,Food & Beverage,Kota Tangerang,Banten,"Kota Tangerang, Banten, Indonesia",18.59732464
106.863434,-6.3747141,PT. BASF Care Chemicals Indonesia,677,Kimia,"Petroleum, Chemicals & Plastics",Kota Depok,Jawa Barat,"Kota Depok, Jawa Barat, Indonesia",18.57865325
106.9838239,-6.3033224,PT. Mikie Oleo Nabati Industri,652,Minyak Goreng,Food & Beverage,Kota Bekasi,Jawa Barat,"Kota Bekasi, Jawa Barat, Indonesia",18.56755744
106.6857433,-6.1598829,PT. Pelita Cengkareng Paper,84,Kertas,"Wood, Leather & Paper",Kab. Tangerang,Banten,"Kab. Tangerang, Banten, Indonesia",18.50938513
106.8616617,-6.3735849,PT. Bayer Indonesia - Cimanggis Plant,675,Farmasi,"Pharmacy, Cosmetics, Health",Kota Depok,Jawa Barat,"Kota Depok, Jawa Barat, Indonesia",18.43372749
106.8618859,-6.3717345,PT. Lasallefood Indonesia,680,Makanan dan Minuman,Food & Beverage,Kota Depok,Jawa Barat,"Kota Depok, Jawa Barat, Indonesia",18.2311482
107.008525,-6.22531,PT. Ispat Bukit Baja,660,Pengolahan Logam,Metal & non-metallic minerals,Kota Bekasi,Jawa Barat,"Kota Bekasi, Jawa Barat, Indonesia",18.12401585
106.6950006,-6.1601475,PT. Bakrie Building Industri,257,Industri Bahan Bangunan,"Cement, Steel & heavy industry",Kota Jakarta Barat,DKI Jakarta,"Kota Jakarta Barat, DKI Jakarta, Indonesia",17.52359977
106.8591387,-6.3644564,"PT. PGN (Persero), Tbk. - Offtake Cimanggis",682,Migas Distribusi,Power & Energy,Kota Depok,Jawa Barat,"Kota Depok, Jawa Barat, Indonesia",17.39629664
106.7112933,-6.2835218,PT. Indah Kiat Pulp & Paper - Tangerang Mills,176,Kertas dan Pulp,"Wood, Leather & Paper",Kota Tangerang Selatan,Banten,"Kota Tangerang Selatan, Banten, Indonesia",17.03345101
106.9981275,-6.2023944,PT. Braja Mukti Cakra,466,Komponen Otomotif,Capital goods & automobile components,Kab. Bekasi,Jawa Barat,"Kab. Bekasi, Jawa Barat, Indonesia",16.89478626
106.9504529,-6.0997832,PT. Asianagro Agungjaya,310,Minyak Goreng,Food & Beverage,Kota Jakarta Utara,DKI Jakarta,"Kota Jakarta Utara, DKI Jakarta, Indonesia",16.78846357
106.8599535,-6.357968,PT. Energizer Indonesia,670,Baterai,Capital goods & automobile components,Kota Depok,Jawa Barat,"Kota Depok, Jawa Barat, Indonesia",16.68515263
