Reference/ PlantID,lon,lat,Nama Perusahaan,Kab.Kota,Provinsi,distance_from_jakarta_km,Jenis Industri,General Industri Group,Capacity,Unit,Generation (MWh),Fuel,Consumption,Product/Production,Amount,Cross-Check Industry,Note,Source
PROPER 2019,112.6559514,-7.3678028,PT. Omya Indonesia,Kab. Sidoarjo,East Java,East Java,Chemicals,Petrochemicals & Plastics,,,,,,,,,,
PROPER 2019,112.6136107,-7.5598099,PT. Sky Indonesia,Kab. Mojokerto,East Java,East Java,Metal Processing,Metal & non-metallic minerals,,,,,,,,,,
PROPER 2019,112.6118535,-7.565899,PT. King Halim Jewelry,Kab. Mojokerto,East Java,East Java,Emas,Metal & non-metallic minerals,,,,,,,,,,
PROPER 2019,112.6641294,-7.1706808,PT. Pertamina Hulu Energi West Madura Offshore (PHE WMO),Kab. Gresik,East Java,East Java,Migas EP,Power & Energy,,,,,,,,,,
PROPER 2019,112.62717,-7.364354,PT. Timur Megah Steel,Kab. Gresik,East Java,East Java,Steel Plating,Steel,,,,,,,,,,
PROPER 2019,112.6591868,-7.162056,PT. Pertamina (Persero) - Bitumen Plant Gresik,Kab. Gresik,East Java,East Java,Aspal,Heavy industry (construction),,,,,,,,,,
PROPER 2019,112.649167,-7.191576,PT. Barata Indonesia (Persero),Kab. Gresik,East Java,East Java,Metal Smelting,Metal & non-metallic minerals,,,,,,,,,,
PROPER 2019,112.6519882,-7.1652437,Camar Resources Canada Inc.,Kab. Gresik,East Java,East Java,Migas EP,Power & Energy,,,,,,,,,,
PROPER 2019,112.6365423,-7.143109,PT. Petro Jordan Abadi,Kab. Gresik,East Java,East Java,Basic Chemicals,Petrochemicals & Plastics,,,,,,,,,,
PROPER 2019,112.6331244,-7.1429183,PT. Smelting,Kab. Gresik,East Java,East Java,Metal Smelting,Metal & non-metallic minerals,,,,,,,,,,
PROPER 2019,112.6156478,-7.1119287,PT. Saka indonesia Pangkah,Kab. Gresik,East Java,East Java,Migas EP,Power & Energy,,,,,,,,,,
PROPER 2019,112.4274731,-7.5151086,PT. Sunrise Steel,Kab. Mojokerto,East Java,East Java,Steel Processing,Steel,,,,,,,,,,
PROPER 2019,111.909529,-7.1533982,PT. Pertamina EP Asset 4 - Sukowati Field,Kab. Bojonegoro,East Java,East Java,Migas EP,Power & Energy,,,,,,,,,,
PROPER 2019,110.9142622,-7.5172437,PT. Indaco Warna Dunia,Kab. Karanganyar,Central Java,Central Java,Paint,Petrochemicals & Plastics,,,,,,,,,,
PROPER 2019,110.8861168,-7.5568595,PT. Hardo Soloplast,Kab. Karanganyar,Central Java,Central Java,Plastik,Petrochemicals & Plastics,,,,,,,,,,
PROPER 2019,110.8852133,-7.5280466,PT. Indo Acidatama Tbk.,Kab. Karanganyar,Central Java,Central Java,Ethanol,Petrochemicals & Plastics,,,,,,,,,,
PROPER 2019,110.4469889,-7.1882872,PT. Bina Guna Chemicals,Kab. Semarang,Central Java,Central Java,Chemicals,Petrochemicals & Plastics,,,,,,,,,,
